epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2389,1.69201,1.80095,1.44755,0.79415,0.7235,0.78747,0.34178,1.8154,1.36686,1.37956,0.000662745,0.000662745,0.000662745
2,83.2749,1.78845,1.52402,1.57693,0.79863,0.72649,0.75085,0.34412,1.78457,1.62298,1.42443,0.00130309,0.00130309,0.00130309
3,122.126,1.77578,1.45737,1.55299,0.75904,0.63479,0.72731,0.32104,1.81318,1.63336,1.43024,0.00191703,0.00191703,0.00191703
4,161.533,1.76323,1.45098,1.54705,0.68867,0.62327,0.69803,0.31275,1.92962,1.52377,1.57306,0.0018812,0.0018812,0.0018812
5,200.011,1.66236,1.28818,1.46979,0.798,0.8341,0.82709,0.39292,1.72189,1.13202,1.36135,0.0018416,0.0018416,0.0018416
6,239.804,1.6385,1.254,1.4652,0.82891,0.86982,0.89135,0.44662,1.66496,1.03522,1.32361,0.001802,0.001802,0.001802
7,278.305,1.65761,1.23664,1.46434,0.67991,0.59332,0.68622,0.33332,1.74556,1.20117,1.39241,0.0017624,0.0017624,0.0017624
8,316.767,1.61242,1.17523,1.44974,0.88889,0.88484,0.91072,0.44999,1.66789,0.92246,1.32906,0.0017228,0.0017228,0.0017228
9,356.398,1.56509,1.11851,1.41439,0.88007,0.8623,0.89715,0.45104,1.66117,0.94326,1.30842,0.0016832,0.0016832,0.0016832
10,395.022,1.56283,1.09363,1.40776,0.88972,0.87369,0.91725,0.45392,1.68639,0.8635,1.31145,0.0016436,0.0016436,0.0016436
11,433.865,1.54111,1.09502,1.39327,0.86009,0.89747,0.90448,0.46929,1.61101,0.88168,1.2848,0.001604,0.001604,0.001604
12,473.968,1.52932,1.06766,1.38795,0.8884,0.88961,0.9125,0.45552,1.6679,0.82445,1.31547,0.0015644,0.0015644,0.0015644
13,512.855,1.52568,1.04719,1.38143,0.89145,0.91129,0.9344,0.4842,1.60467,0.85724,1.26212,0.0015248,0.0015248,0.0015248
14,552.046,1.50799,1.02699,1.37225,0.9129,0.8694,0.93667,0.48847,1.60173,0.83975,1.27129,0.0014852,0.0014852,0.0014852
15,591.26,1.48527,1.00315,1.35962,0.89021,0.88134,0.93568,0.50279,1.54791,0.8112,1.22932,0.0014456,0.0014456,0.0014456
16,629.921,1.49107,0.99482,1.36161,0.89046,0.89904,0.93258,0.48515,1.61441,0.8379,1.2848,0.001406,0.001406,0.001406
17,669.689,1.47749,0.98045,1.3531,0.92087,0.89823,0.94216,0.51214,1.57915,0.77317,1.27176,0.0013664,0.0013664,0.0013664
18,708.439,1.47471,0.96568,1.35628,0.89692,0.91359,0.93324,0.49645,1.58185,0.78487,1.2431,0.0013268,0.0013268,0.0013268
19,747.452,1.46495,0.95154,1.34167,0.90067,0.90553,0.94292,0.51194,1.54011,0.79569,1.23043,0.0012872,0.0012872,0.0012872
20,787.064,1.44055,0.91859,1.3324,0.91086,0.88296,0.92689,0.50678,1.52753,0.7784,1.24009,0.0012476,0.0012476,0.0012476
21,825.728,1.44736,0.92961,1.33726,0.91412,0.93203,0.9516,0.5099,1.56437,0.73424,1.2391,0.001208,0.001208,0.001208
